id,age,birth_year,generation,word_count,exclam_count,exclam_per_100k
usr_05416c339c,25,2000,Gen Z,886,3,338.6
usr_2d2e80e632,36,1989,Millennial,788,9,1142.132
usr_b249276aff,37,1988,Millennial,1877,4,213.106
usr_28c25b686b,34,1991,Millennial,323,0,0.0
usr_af082a73b0,27,1998,Gen Z,476,3,630.252
usr_de9267b485,31,1994,Millennial,1361,15,1102.131
usr_fc017d82c9,27,1998,Gen Z,178,0,0.0
usr_7abe6d26c5,39,1986,Millennial,1686,7,415.184
usr_55a09b3eb6,24,2001,Gen Z,434,7,1612.903
usr_5c454914d9,37,1988,Millennial,571,3,525.394
usr_bea9a0b648,27,1998,Gen Z,924,0,0.0
usr_1a96b561a7,30,1995,Millennial,392,0,0.0
usr_1fb73e4836,32,1993,Millennial,840,0,0.0
usr_9e07ccdaa5,34,1991,Millennial,364,5,1373.626
usr_f1fa07879a,35,1990,Millennial,1871,6,320.684
usr_2b3c84d078,26,1999,Gen Z,324,1,308.642
usr_76e12533b0,34,1991,Millennial,1172,3,255.973
usr_e02afc30b9,57,1968,Gen X,420,5,1190.476
usr_7beff3f364,44,1981,Millennial,446,5,1121.076
usr_ec665788c6,33,1992,Millennial,1201,7,582.848
usr_1d7ce6b95c,27,1998,Gen Z,103,1,970.874
usr_8c045e9342,29,1996,Millennial,1118,4,357.782
usr_482e943750,34,1991,Millennial,307,3,977.199
usr_c7b0287a2e,29,1996,Millennial,402,0,0.0
usr_2b2bbb68f8,42,1983,Millennial,1041,6,576.369
usr_8a66d8f970,42,1983,Millennial,12555,3,23.895
usr_dc07f2432e,25,2000,Gen Z,429,1,233.1
usr_b8ae6cc066,32,1993,Millennial,832,6,721.154
usr_eafd834d0c,36,1989,Millennial,183,1,546.448
usr_5cb6a47d0b,30,1995,Millennial,326,4,1226.994
usr_a64be45867,35,1990,Millennial,175,2,1142.857
usr_f93f3a791a,49,1976,Gen X,2616,5,191.131
usr_65da957f53,38,1987,Millennial,375,0,0.0
usr_086121af0b,43,1982,Millennial,1292,10,773.994
usr_d011560031,29,1996,Millennial,1347,2,148.478
usr_4542e591bd,40,1985,Millennial,670,4,597.015
usr_87ae7e8e85,27,1998,Gen Z,720,6,833.333
