id,gender,word_count,exclam_count,exclam_per_100k
usr_1cbd809ad9,Male,1647,3,182.149
usr_64aaeab250,Male,2515,14,556.66
usr_f8b3720cf2,Male,1904,5,262.605
usr_13d918dd1a,Male,1215,2,164.609
usr_f3d4b8d4e3,Male,1361,5,367.377
usr_582385d5f1,Female,1049,3,285.987
usr_211c9de06e,Male,181,0,0.0
usr_a0ee1d96bb,Male,289,4,1384.083
usr_c5f611665c,Female,275,2,727.273
usr_574998da53,Male,1492,15,1005.362
usr_2af60cf596,Male,268,3,1119.403
usr_5585b9cd21,Male,697,1,143.472
usr_54d1128b0f,Female,105,3,2857.143
usr_4da5e702b2,Male,126,1,793.651
usr_6abed675ba,Female,860,3,348.837
usr_e546949ddc,Male,635,5,787.402
usr_ba83e1402b,Male,533,3,562.852
usr_e2e23a6e0e,Female,345,4,1159.42
usr_8e08991398,Male,596,0,0.0
usr_0e7b7af163,Male,1832,5,272.926
usr_04732cb97b,Male,295,2,677.966
usr_5f8a6bcd88,Male,871,1,114.811
usr_b3064cef67,Male,1619,2,123.533
usr_f0b57d5086,Male,126,0,0.0
usr_175108006f,Male,838,0,0.0
usr_02bf46161c,Male,480,2,416.667
usr_75b14a324e,Male,2069,6,289.995
usr_67f17eb9e6,Male,1040,2,192.308
usr_f57ea7ef5b,Female,514,1,194.553
usr_088df0aede,Male,653,0,0.0
usr_c5959f611c,Female,732,0,0.0
usr_612c0a9acf,Male,866,0,0.0
usr_aff5b99157,Female,2318,14,603.969
usr_84dc6a034d,Female,239,0,0.0
usr_f81ea6a0d9,Male,332,0,0.0
usr_646043becc,Male,743,2,269.179
usr_0434dfa104,Male,421,0,0.0
usr_aeebbaacd1,Male,331,0,0.0
usr_fb725bc901,Female,113,0,0.0
usr_fa70caacaa,Male,854,0,0.0
usr_2f8c26e8f2,Female,933,4,428.725
usr_2f7814b980,Female,1488,6,403.226
usr_0815a0bd72,Male,123,1,813.008
usr_65ff9bd76e,Male,677,0,0.0
usr_5a5a1b1133,Male,1091,1,91.659
usr_7a4f5b5298,Female,870,1,114.943
usr_5b651e5d8a,Female,1051,2,190.295
usr_ce8d89cc9a,Male,146,3,2054.795
usr_0595390b2a,Male,580,2,344.828
usr_b7dffef9dd,Male,1127,2,177.462
usr_e2c15ff14e,Female,502,2,398.406
usr_1b22b88b8c,Male,461,5,1084.599
usr_ec181fb208,Female,1019,3,294.406
usr_8e01aabd7b,Female,1157,2,172.861
usr_3861e7bb44,Male,963,16,1661.475
usr_2a6d2a2d9e,Male,641,8,1248.05
usr_0ddd44ddab,Male,561,0,0.0
usr_f31f1ef82d,Male,523,4,764.818
usr_b0cbb72cba,Male,1030,6,582.524
usr_f8264ce8ea,Male,271,1,369.004
usr_f753263e7c,Female,1202,0,0.0
usr_ad51f6fcde,Male,1206,4,331.675
usr_62a591d357,Male,685,3,437.956
usr_a5a2e6db18,Male,811,1,123.305
usr_043cba3ae0,Male,1572,10,636.132
usr_7bae480261,Male,1046,4,382.409
usr_a554d0a027,Male,1258,22,1748.808
usr_c171b85fd5,Female,3115,3,96.308
usr_0cf7f3e282,Male,249,0,0.0
usr_5048f38377,Male,1054,1,94.877
usr_087fbc195a,Female,1621,4,246.761
usr_338869b614,Female,216,0,0.0
usr_7c05cf7f82,Male,708,10,1412.429
usr_dab34ae3eb,Male,1853,21,1133.297
usr_91520afa39,Male,2314,5,216.076
usr_472fe7a708,Female,1020,2,196.078
usr_eeb1bca3df,Female,728,0,0.0
usr_720699db56,Female,358,1,279.33
usr_48faf2fb83,Male,769,3,390.117
usr_5404818004,Male,240,1,416.667
usr_e6786b8495,Male,511,2,391.389
usr_f93929ccfe,Male,1368,6,438.596
usr_83dfcfab4f,Male,448,1,223.214
usr_2a41c33405,Female,613,10,1631.321
usr_e85937d6f1,Male,433,2,461.894
usr_6d33a4613e,Female,534,3,561.798
usr_73fb709f6f,Male,359,5,1392.758
usr_e77eb2eb7d,Male,1436,10,696.379
usr_8b8fa88e38,Male,4353,25,574.317
usr_afcc6e0593,Male,944,5,529.661
usr_f6f09aa842,Male,2081,0,0.0
usr_eca6230bc7,Female,971,2,205.973
usr_455248a8c2,Female,1890,1,52.91
usr_cb1f4df9ab,Female,473,0,0.0
usr_9114a08dc7,Female,1821,20,1098.298
usr_ff0b88a130,Male,1742,5,287.026
usr_8cff506150,Female,231,0,0.0
usr_9125241386,Female,1125,3,266.667
usr_edae9f254b,Male,566,1,176.678
usr_3386c9dc77,Female,231,0,0.0
usr_210314bef7,Female,2705,3,110.906
usr_c4f7451f7e,Male,430,0,0.0
usr_0ea1d233e4,Female,758,2,263.852
usr_a4ecbea0a1,Female,956,6,627.615
usr_7a86b09354,Female,102,0,0.0
usr_145d4094eb,Male,240,1,416.667
usr_4cabf006ea,Female,359,0,0.0
usr_002801e2b5,Female,379,2,527.704
usr_92a91ee01b,Female,667,3,449.775
usr_096c1fc308,Female,136,4,2941.176
usr_8f91ad41be,Female,223,2,896.861
usr_772c480194,Female,295,0,0.0
usr_a3452c4d95,Male,572,0,0.0
usr_a316ad1ed3,Male,286,2,699.301
usr_f6e0013eab,Male,687,7,1018.923
usr_c0b3a89595,Male,368,1,271.739
usr_527d3d9c91,Male,579,0,0.0
usr_66fbc11cf7,Female,720,4,555.556
usr_9c7bd4050f,Male,585,4,683.761
usr_5675b58976,Female,609,0,0.0
usr_a685339a27,Male,643,5,777.605
usr_169fe68959,Male,2285,8,350.109
usr_3471ae2b14,Female,314,3,955.414
usr_076c084131,Male,780,9,1153.846
usr_75f07f3e1a,Male,1410,4,283.688
usr_6220c53bd4,Male,989,14,1415.571
usr_df563a8c21,Male,135,0,0.0
usr_8d798f2ac8,Female,117,0,0.0
usr_36af460751,Male,497,9,1810.865
usr_870452fa93,Male,359,5,1392.758
usr_ca9dfe4c14,Female,891,2,224.467
usr_bacc2418a5,Male,107,0,0.0
usr_ba9d8d1b92,Male,142,0,0.0
usr_8ab426951e,Female,2033,14,688.637
usr_52bf981f18,Male,3850,12,311.688
usr_80c22d2507,Male,821,4,487.211
usr_df98b38087,Female,310,10,3225.806
usr_b1185a9599,Male,1832,5,272.926
usr_f40be05c5f,Male,707,0,0.0
usr_321cbee0ad,Female,1024,3,292.969
usr_90a20138cd,Female,794,13,1637.28
usr_3b7ae0f59b,Male,159,0,0.0
