id,interest_group,word_count,sentence_count,complex_sentence_count,percent_complex_sentences,avg_sentence_len
usr_62111231bc,Looking for Both,1592,93,25,26.882,17.118
usr_18c02c17a2,Looking for Women,906,60,12,20.0,15.1
usr_1c58a6a0e7,Looking for Men,1224,43,21,48.837,28.465
usr_f2fa5eadbf,Looking for Women,839,53,15,28.302,15.83
usr_aea53a8142,Looking for Men,2030,72,40,55.556,28.194
usr_957f29464f,Looking for Men,335,34,7,20.588,9.853
usr_9256c466fb,Looking for Women,566,20,9,45.0,28.3
usr_f79f5f2b1b,Looking for Women,2080,78,32,41.026,26.667
usr_f98cae6f00,Looking for Men,1336,32,19,59.375,41.75
usr_77c62063c9,Looking for Women,1000,69,17,24.638,14.493
usr_5bd7339095,Looking for Women,1512,119,17,14.286,12.706
usr_323f919897,Looking for Men,568,42,7,16.667,13.524
usr_44b02483f3,Looking for Men,1157,65,25,38.462,17.8
usr_9368a27fa1,Looking for Women,1385,70,22,31.429,19.786
usr_15f3bdcf80,Looking for Men,369,23,7,30.435,16.043
usr_69c6656a7e,Looking for Women,645,29,14,48.276,22.241
usr_5d1b9d55a6,Looking for Women,384,13,4,30.769,29.538
usr_db2dae94d0,Looking for Women,1040,46,20,43.478,22.609
usr_3647e23669,Looking for Women,2850,148,62,41.892,19.257
usr_6dc2e0bdb6,Looking for Women,853,59,17,28.814,14.458
usr_a4dd2a5faa,Looking for Women,568,30,9,30.0,18.933
usr_ca7ce7ccf9,Looking for Men,892,59,18,30.508,15.119
usr_1a3dd3479b,Looking for Women,396,17,6,35.294,23.294
usr_a6812c96de,Looking for Men,817,36,12,33.333,22.694
usr_8734675044,Looking for Men,535,9,7,77.778,59.444
usr_a7a9bad78b,Looking for Women,762,45,12,26.667,16.933
usr_78ece4944a,Looking for Women,326,14,7,50.0,23.286
usr_3089c6389f,Looking for Women,1144,63,20,31.746,18.159
usr_7b6463a41f,Looking for Men,369,12,3,25.0,30.75
usr_41855fc328,Looking for Men,2686,64,35,54.688,41.969
usr_e4e1b0b7c4,Looking for Both,1159,64,20,31.25,18.109
usr_2baef7757a,Looking for Women,853,48,15,31.25,17.771
usr_29f94af17f,Looking for Women,748,51,13,25.49,14.667
usr_bc8943c1f6,Looking for Women,119,7,2,28.571,17.0
usr_07f65c8d00,Looking for Women,368,32,4,12.5,11.5
usr_9ea93eae4d,Looking for Women,339,23,6,26.087,14.739
usr_05416c339c,Looking for Women,886,52,12,23.077,17.038
usr_2d2e80e632,Looking for Men,788,40,20,50.0,19.7
usr_b249276aff,Looking for Men,1877,94,33,35.106,19.968
usr_28c25b686b,Looking for Women,323,18,6,33.333,17.944
usr_af082a73b0,Looking for Women,476,27,9,33.333,17.63
usr_de9267b485,Looking for Women,1361,78,25,32.051,17.449
usr_fc017d82c9,Looking for Both,178,12,4,33.333,14.833
usr_7abe6d26c5,Looking for Women,1686,84,36,42.857,20.071
usr_55a09b3eb6,Looking for Women,434,29,7,24.138,14.966
usr_5c454914d9,Looking for Women,571,37,12,32.432,15.432
usr_bea9a0b648,Looking for Women,924,72,11,15.278,12.833
usr_1a96b561a7,Looking for Women,392,22,7,31.818,17.818
usr_1fb73e4836,Looking for Women,840,50,17,34.0,16.8
usr_9e07ccdaa5,Looking for Women,364,25,5,20.0,14.56
usr_f1fa07879a,Looking for Both,1871,98,30,30.612,19.092
usr_2b3c84d078,Looking for Men,324,18,6,33.333,18.0
usr_76e12533b0,Looking for Women,1172,37,16,43.243,31.676
usr_e02afc30b9,Looking for Men,420,31,5,16.129,13.548
usr_7beff3f364,Looking for Women,446,35,6,17.143,12.743
usr_ec665788c6,Looking for Women,1201,112,10,8.929,10.723
usr_1d7ce6b95c,Looking for Both,103,6,2,33.333,17.167
usr_8c045e9342,Looking for Women,1118,65,19,29.231,17.2
usr_482e943750,Looking for Women,307,21,2,9.524,14.619
usr_c7b0287a2e,Looking for Women,402,17,5,29.412,23.647
usr_2b2bbb68f8,Looking for Men,1041,69,15,21.739,15.087
usr_8a66d8f970,Looking for Women,12555,693,217,31.313,18.117
usr_dc07f2432e,Looking for Women,429,30,9,30.0,14.3
usr_b8ae6cc066,Looking for Women,832,57,11,19.298,14.596
usr_eafd834d0c,Looking for Women,183,7,5,71.429,26.143
usr_5cb6a47d0b,Looking for Men,326,34,3,8.824,9.588
usr_a64be45867,Looking for Women,175,12,3,25.0,14.583
usr_f93f3a791a,Looking for Men,2616,153,45,29.412,17.098
usr_65da957f53,Looking for Women,375,50,3,6.0,7.5
usr_086121af0b,Looking for Women,1292,86,18,20.93,15.023
usr_d011560031,Looking for Women,1347,92,26,28.261,14.641
usr_4542e591bd,Looking for Women,670,54,7,12.963,12.407
usr_87ae7e8e85,Looking for Women,720,55,10,18.182,13.091
usr_c95879af82,Looking for Women,855,49,12,24.49,17.449
usr_3eb7c032c3,Looking for Women,1492,79,30,37.975,18.886
usr_b1841bcdb4,Looking for Men,592,40,11,27.5,14.8
usr_4c79d89899,Looking for Women,1557,82,22,26.829,18.988
usr_ad37c5c484,Looking for Both,501,17,7,41.176,29.471
usr_e913712157,Looking for Women,1280,68,12,17.647,18.824
usr_f9d016cd0b,Looking for Women,648,36,15,41.667,18.0
usr_dee75989a8,Looking for Women,866,50,14,28.0,17.32
usr_f84a619384,Looking for Men,110,3,2,66.667,36.667
usr_1ffec2b180,Looking for Women,1513,66,23,34.848,22.924
usr_5807311f43,Looking for Women,1078,79,16,20.253,13.646
usr_3f5b9628fc,Looking for Men,435,34,3,8.824,12.794
usr_7bea345c09,Looking for Women,1749,55,30,54.545,31.8
usr_f6860f2591,Looking for Women,1074,97,10,10.309,11.072
usr_32e6c20d7a,Looking for Men,1913,72,27,37.5,26.569
usr_6c48cb097e,Looking for Women,273,18,4,22.222,15.167
usr_74299a606e,Looking for Men,258,10,5,50.0,25.8
usr_f99d050fdb,Looking for Women,1663,90,32,35.556,18.478
usr_23903e6cac,Looking for Women,1057,38,16,42.105,27.816
usr_1cbd809ad9,Looking for Women,1647,78,34,43.59,21.115
usr_64aaeab250,Looking for Women,2515,131,48,36.641,19.198
usr_f8b3720cf2,Looking for Women,1904,111,27,24.324,17.153
usr_13d918dd1a,Looking for Women,1215,68,22,32.353,17.868
usr_f3d4b8d4e3,Looking for Both,1361,71,27,38.028,19.169
usr_582385d5f1,Looking for Both,1049,53,20,37.736,19.792
usr_211c9de06e,Looking for Women,181,7,3,42.857,25.857
usr_a0ee1d96bb,Looking for Women,289,20,3,15.0,14.45
usr_c5f611665c,Looking for Men,275,7,2,28.571,39.286
usr_574998da53,Looking for Women,1492,92,20,21.739,16.217
usr_2af60cf596,Looking for Men,268,24,4,16.667,11.167
usr_5585b9cd21,Looking for Women,697,57,9,15.789,12.228
usr_8f8b200a9a,Looking for Both,739,40,13,32.5,18.475
usr_54d1128b0f,Looking for Men,105,8,2,25.0,13.125
usr_4da5e702b2,Looking for Women,126,11,1,9.091,11.455
usr_6abed675ba,Looking for Men,860,48,17,35.417,17.917
usr_e546949ddc,Looking for Men,635,47,10,21.277,13.511
usr_ba83e1402b,Looking for Women,533,34,8,23.529,15.676
usr_e2e23a6e0e,Looking for Men,345,24,7,29.167,14.375
usr_8e08991398,Looking for Women,596,33,8,24.242,18.061
usr_0e7b7af163,Looking for Women,1832,51,23,45.098,35.922
usr_04732cb97b,Looking for Women,295,22,3,13.636,13.409
usr_5f8a6bcd88,Looking for Women,871,49,18,36.735,17.776
usr_b3064cef67,Looking for Women,1619,85,34,40.0,19.047
usr_f0b57d5086,Looking for Women,126,10,3,30.0,12.6
usr_175108006f,Looking for Women,838,47,21,44.681,17.83
usr_02bf46161c,Looking for Women,480,26,11,42.308,18.462
usr_75b14a324e,Looking for Women,2069,103,39,37.864,20.087
usr_67f17eb9e6,Looking for Women,1040,78,17,21.795,13.333
usr_f57ea7ef5b,Looking for Both,514,43,4,9.302,11.953
usr_088df0aede,Looking for Women,653,26,12,46.154,25.115
usr_c5959f611c,Looking for Men,732,37,14,37.838,19.784
usr_612c0a9acf,Looking for Women,866,58,14,24.138,14.931
usr_aff5b99157,Looking for Women,2318,94,48,51.064,24.66
usr_84dc6a034d,Looking for Men,239,11,4,36.364,21.727
usr_f81ea6a0d9,Looking for Women,332,22,4,18.182,15.091
usr_646043becc,Looking for Women,743,39,12,30.769,19.051
usr_0434dfa104,Looking for Women,421,23,8,34.783,18.304
usr_aeebbaacd1,Looking for Women,331,21,7,33.333,15.762
usr_fb725bc901,Looking for Men,113,3,3,100.0,37.667
usr_fa70caacaa,Looking for Both,854,71,8,11.268,12.028
usr_2f8c26e8f2,Looking for Men,933,50,17,34.0,18.66
usr_2f7814b980,Looking for Men,1488,79,32,40.506,18.835
usr_0815a0bd72,Looking for Women,123,10,2,20.0,12.3
usr_65ff9bd76e,Looking for Women,677,45,12,26.667,15.044
usr_5a5a1b1133,Looking for Women,1091,64,21,32.812,17.047
usr_7a4f5b5298,Looking for Men,870,50,20,40.0,17.4
usr_5b651e5d8a,Looking for Both,1051,27,15,55.556,38.926
usr_ce8d89cc9a,Looking for Women,146,7,2,28.571,20.857
usr_0595390b2a,Looking for Women,580,53,5,9.434,10.943
usr_0ad3cadb21,Looking for Both,1307,60,28,46.667,21.783
usr_b7dffef9dd,Looking for Women,1127,58,25,43.103,19.431
usr_e2c15ff14e,Looking for Men,502,17,8,47.059,29.529
usr_1b22b88b8c,Looking for Women,461,30,8,26.667,15.367
usr_ec181fb208,Looking for Men,1019,80,10,12.5,12.738
usr_8e01aabd7b,Looking for Men,1157,65,25,38.462,17.8
