id,source_gender,target_gender,word_count,complex_pct,interestedIn_raw
usr_1fb73e4836,M,F,840,14.048,['F']
usr_9e07ccdaa5,M,F,364,8.791,['F']
usr_f1fa07879a,M,F,1871,11.331,"['F', 'M', 'NB']"
usr_f1fa07879a,M,M,1871,11.331,"['F', 'M', 'NB']"
usr_f1fa07879a,M,NB,1871,11.331,"['F', 'M', 'NB']"
usr_2b3c84d078,F,M,324,13.58,['M']
usr_76e12533b0,M,F,1172,15.956,"['F', 'NB']"
usr_76e12533b0,M,NB,1172,15.956,"['F', 'NB']"
usr_e02afc30b9,F,M,420,10.238,['M']
usr_7beff3f364,M,F,446,15.022,['F']
usr_ec665788c6,M,F,1201,9.659,['F']
usr_1d7ce6b95c,F,F,103,7.767,"['F', 'M', 'NB']"
usr_1d7ce6b95c,F,M,103,7.767,"['F', 'M', 'NB']"
usr_1d7ce6b95c,F,NB,103,7.767,"['F', 'M', 'NB']"
usr_8c045e9342,M,F,1118,14.132,['F']
usr_482e943750,M,F,307,9.446,['F']
usr_c7b0287a2e,M,F,402,16.418,['F']
usr_2b2bbb68f8,F,M,1041,11.239,['M']
usr_8a66d8f970,M,F,12555,15.93,['F']
usr_dc07f2432e,M,F,429,10.49,['F']
usr_b8ae6cc066,M,F,832,9.856,['F']
usr_eafd834d0c,M,F,183,14.208,['F']
usr_5cb6a47d0b,F,M,326,11.35,['M']
usr_a64be45867,M,F,175,20.0,['F']
usr_65da957f53,M,F,375,13.867,['F']
usr_086121af0b,M,F,1292,13.854,['F']
usr_d011560031,M,F,1347,13.512,"['F', 'NB']"
usr_d011560031,M,NB,1347,13.512,"['F', 'NB']"
usr_4542e591bd,M,F,670,14.478,['F']
usr_87ae7e8e85,M,F,720,11.25,"['F', 'NB']"
usr_87ae7e8e85,M,NB,720,11.25,"['F', 'NB']"
usr_c95879af82,M,F,855,16.257,['F']
usr_3eb7c032c3,M,F,1492,18.097,['F']
usr_b1841bcdb4,F,M,592,9.291,['M']
usr_4c79d89899,M,F,1557,12.46,['F']
usr_ad37c5c484,F,F,501,17.166,"['F', 'M', 'NB']"
usr_ad37c5c484,F,M,501,17.166,"['F', 'M', 'NB']"
usr_ad37c5c484,F,NB,501,17.166,"['F', 'M', 'NB']"
usr_e913712157,M,F,1280,15.937,['F']
usr_f9d016cd0b,M,F,648,10.031,['F']
usr_dee75989a8,M,F,866,14.781,['F']
usr_f84a619384,M,M,110,12.727,['M']
usr_1ffec2b180,M,F,1513,12.954,['F']
usr_5807311f43,M,F,1078,10.853,['F']
usr_3f5b9628fc,F,M,435,11.034,['M']
usr_7bea345c09,M,F,1749,16.695,"['F', 'NB']"
usr_7bea345c09,M,NB,1749,16.695,"['F', 'NB']"
usr_f6860f2591,M,F,1074,11.825,['F']
usr_6c48cb097e,M,F,273,7.692,['F']
usr_74299a606e,F,M,258,17.442,['M']
usr_f99d050fdb,M,F,1663,10.764,"['F', 'NB']"
usr_f99d050fdb,M,NB,1663,10.764,"['F', 'NB']"
usr_23903e6cac,M,F,1057,11.637,['F']
usr_1cbd809ad9,M,F,1647,13.783,['F']
usr_64aaeab250,M,F,2515,11.213,['F']
usr_f8b3720cf2,M,F,1904,13.55,['F']
usr_13d918dd1a,M,F,1215,12.428,['F']
usr_f3d4b8d4e3,M,F,1361,11.095,"['F', 'M']"
usr_f3d4b8d4e3,M,M,1361,11.095,"['F', 'M']"
usr_582385d5f1,F,F,1049,11.725,"['F', 'M']"
usr_582385d5f1,F,M,1049,11.725,"['F', 'M']"
usr_211c9de06e,M,F,181,25.967,['F']
usr_a0ee1d96bb,M,F,289,11.073,['F']
usr_c5f611665c,F,M,275,15.636,['M']
usr_574998da53,M,F,1492,13.606,['F']
usr_2af60cf596,M,M,268,9.328,['M']
usr_5585b9cd21,M,F,697,8.465,['F']
usr_54d1128b0f,F,M,105,13.333,['M']
usr_4da5e702b2,M,F,126,15.079,['F']
usr_6abed675ba,F,M,860,14.884,['M']
usr_e546949ddc,M,M,635,16.063,['M']
usr_ba83e1402b,M,F,533,11.445,['F']
usr_e2e23a6e0e,F,M,345,15.652,['M']
usr_8e08991398,M,F,596,8.557,['F']
usr_0e7b7af163,M,F,1832,11.681,['F']
usr_04732cb97b,M,F,295,22.034,['F']
usr_5f8a6bcd88,M,F,871,22.732,['F']
usr_b3064cef67,M,F,1619,13.465,['F']
usr_f0b57d5086,M,F,126,18.254,['F']
usr_175108006f,M,F,838,18.854,['F']
usr_02bf46161c,M,F,480,16.042,"['F', 'NB']"
usr_02bf46161c,M,NB,480,16.042,"['F', 'NB']"
usr_75b14a324e,M,F,2069,12.228,['F']
usr_67f17eb9e6,M,F,1040,12.692,['F']
usr_f57ea7ef5b,F,F,514,13.813,"['F', 'M', 'NB']"
usr_f57ea7ef5b,F,M,514,13.813,"['F', 'M', 'NB']"
usr_f57ea7ef5b,F,NB,514,13.813,"['F', 'M', 'NB']"
usr_088df0aede,M,F,653,14.855,['F']
usr_c5959f611c,F,M,732,14.891,['M']
usr_612c0a9acf,M,F,866,10.508,['F']
usr_aff5b99157,F,F,2318,13.287,"['F', 'NB']"
usr_aff5b99157,F,NB,2318,13.287,"['F', 'NB']"
usr_84dc6a034d,F,M,239,18.828,['M']
usr_f81ea6a0d9,M,F,332,9.94,"['F', 'NB']"
usr_f81ea6a0d9,M,NB,332,9.94,"['F', 'NB']"
usr_646043becc,M,F,743,11.44,['F']
usr_0434dfa104,M,F,421,10.689,['F']
usr_aeebbaacd1,M,F,331,16.616,['F']
usr_fb725bc901,F,M,113,9.735,['M']
usr_fa70caacaa,M,F,854,13.817,"['F', 'M', 'NB']"
usr_fa70caacaa,M,M,854,13.817,"['F', 'M', 'NB']"
usr_fa70caacaa,M,NB,854,13.817,"['F', 'M', 'NB']"
usr_2f8c26e8f2,F,M,933,9.968,['M']
usr_2f7814b980,F,M,1488,12.097,['M']
usr_0815a0bd72,M,F,123,13.821,['F']
usr_65ff9bd76e,M,F,677,13.737,"['F', 'NB']"
usr_65ff9bd76e,M,NB,677,13.737,"['F', 'NB']"
usr_5a5a1b1133,M,F,1091,16.04,['F']
usr_7a4f5b5298,F,M,870,13.793,['M']
usr_5b651e5d8a,F,F,1051,12.94,"['F', 'M', 'NB']"
usr_5b651e5d8a,F,M,1051,12.94,"['F', 'M', 'NB']"
usr_5b651e5d8a,F,NB,1051,12.94,"['F', 'M', 'NB']"
usr_ce8d89cc9a,M,F,146,12.329,['F']
usr_0595390b2a,M,F,580,10.517,['F']
usr_b7dffef9dd,M,F,1127,11.18,['F']
usr_e2c15ff14e,F,M,502,17.729,['M']
usr_1b22b88b8c,M,F,461,11.497,['F']
usr_ec181fb208,F,M,1019,13.248,['M']
usr_8e01aabd7b,F,M,1157,15.644,['M']
usr_3861e7bb44,M,F,963,11.215,"['F', 'NB']"
usr_3861e7bb44,M,NB,963,11.215,"['F', 'NB']"
usr_2a6d2a2d9e,M,F,641,12.637,['F']
usr_0ddd44ddab,M,F,561,10.517,['F']
usr_f31f1ef82d,M,F,523,15.296,['F']
usr_b0cbb72cba,M,F,1030,9.806,['F']
usr_f8264ce8ea,M,F,271,22.509,['F']
usr_f753263e7c,F,M,1202,16.722,['M']
usr_ad51f6fcde,M,F,1206,15.423,['F']
usr_62a591d357,M,F,685,9.781,['F']
usr_a5a2e6db18,M,F,811,11.097,['F']
usr_043cba3ae0,M,F,1572,13.359,['F']
usr_7bae480261,M,F,1046,12.428,"['F', 'NB']"
usr_7bae480261,M,NB,1046,12.428,"['F', 'NB']"
usr_a554d0a027,M,F,1258,9.3,['F']
usr_c171b85fd5,F,M,3115,13.9,"['M', 'NB']"
usr_c171b85fd5,F,NB,3115,13.9,"['M', 'NB']"
usr_0cf7f3e282,M,F,249,11.647,['F']
usr_5048f38377,M,F,1054,11.954,['F']
usr_087fbc195a,F,M,1621,9.192,['M']
usr_338869b614,F,M,216,8.333,['M']
usr_7c05cf7f82,M,F,708,16.384,['F']
usr_dab34ae3eb,M,F,1853,14.787,['F']
usr_91520afa39,M,F,2314,15.946,['F']
usr_472fe7a708,F,M,1020,14.412,['M']
usr_eeb1bca3df,F,M,728,10.44,['M']
usr_720699db56,F,M,358,10.056,['M']
usr_48faf2fb83,M,F,769,10.403,['F']
usr_5404818004,M,F,240,20.417,['F']
usr_e6786b8495,M,F,511,10.372,['F']
usr_f93929ccfe,M,F,1368,12.646,['F']
usr_83dfcfab4f,M,F,448,21.205,['F']
usr_2a41c33405,F,M,613,12.887,['M']
usr_e85937d6f1,M,M,433,19.4,['M']
usr_6d33a4613e,F,M,534,12.921,['M']
usr_73fb709f6f,M,F,359,9.192,['F']
usr_e77eb2eb7d,M,F,1436,16.713,"['F', 'NB']"
usr_e77eb2eb7d,M,NB,1436,16.713,"['F', 'NB']"
usr_8b8fa88e38,M,F,4353,11.808,['F']
usr_afcc6e0593,M,F,944,13.559,['F']
usr_f6f09aa842,M,F,2081,12.158,"['F', 'M']"
usr_f6f09aa842,M,M,2081,12.158,"['F', 'M']"
usr_eca6230bc7,F,M,971,9.99,['M']
usr_455248a8c2,F,M,1890,15.556,['M']
usr_cb1f4df9ab,F,M,473,11.416,['M']
usr_9114a08dc7,F,M,1821,10.928,['M']
usr_ff0b88a130,M,F,1742,18.829,['F']
usr_8cff506150,F,M,231,6.926,['M']
usr_9125241386,F,M,1125,12.889,['M']
usr_edae9f254b,M,F,566,13.604,['F']
usr_3386c9dc77,F,M,231,6.926,['M']
usr_210314bef7,F,M,2705,10.795,"['M', 'F']"
usr_210314bef7,F,F,2705,10.795,"['M', 'F']"
usr_c4f7451f7e,M,F,430,18.605,['F']
usr_0ea1d233e4,F,M,758,16.359,['M']
usr_a4ecbea0a1,F,M,956,20.711,['M']
usr_7a86b09354,F,M,102,20.588,['M']
usr_145d4094eb,M,F,240,20.417,['F']
usr_4cabf006ea,F,M,359,15.877,['M']
usr_002801e2b5,F,M,379,10.29,['M']
usr_92a91ee01b,F,M,667,14.393,['M']
usr_096c1fc308,F,M,136,14.706,['M']
usr_8f91ad41be,F,M,223,11.211,['M']
usr_772c480194,F,M,295,6.78,['M']
usr_a3452c4d95,M,F,572,9.79,['F']
usr_a316ad1ed3,M,F,286,12.937,['F']
usr_f6e0013eab,M,F,687,12.955,['F']
usr_c0b3a89595,M,F,368,10.326,['F']
usr_527d3d9c91,M,F,579,15.026,['F']
usr_66fbc11cf7,F,M,720,10.278,['M']
usr_c77d61e581,NB,F,384,14.062,['F']
usr_9c7bd4050f,M,F,585,15.214,"['F', 'M', 'NB']"
usr_9c7bd4050f,M,M,585,15.214,"['F', 'M', 'NB']"
usr_9c7bd4050f,M,NB,585,15.214,"['F', 'M', 'NB']"
usr_5675b58976,F,M,609,13.136,['M']
usr_a685339a27,M,F,643,11.353,['F']
usr_169fe68959,M,F,2285,10.372,['F']
usr_3471ae2b14,F,M,314,13.694,['M']
usr_076c084131,M,F,780,12.436,['F']
usr_75f07f3e1a,M,F,1410,13.404,['F']
usr_6220c53bd4,M,F,989,12.942,"['F', 'NB']"
usr_6220c53bd4,M,NB,989,12.942,"['F', 'NB']"
usr_df563a8c21,M,F,135,8.148,['F']
usr_8d798f2ac8,F,M,117,12.821,['M']
usr_36af460751,M,F,497,12.676,['F']
usr_870452fa93,M,F,359,9.192,['F']
usr_ca9dfe4c14,F,F,891,18.182,"['F', 'M', 'NB']"
usr_ca9dfe4c14,F,M,891,18.182,"['F', 'M', 'NB']"
usr_ca9dfe4c14,F,NB,891,18.182,"['F', 'M', 'NB']"
usr_bacc2418a5,M,F,107,28.972,['F']
usr_ba9d8d1b92,M,M,142,8.451,['M']
usr_8ab426951e,F,M,2033,15.347,['M']
usr_52bf981f18,M,F,3850,19.143,"['F', 'M', 'NB']"
usr_52bf981f18,M,M,3850,19.143,"['F', 'M', 'NB']"
usr_52bf981f18,M,NB,3850,19.143,"['F', 'M', 'NB']"
usr_80c22d2507,M,F,821,12.911,['F']
usr_df98b38087,F,M,310,5.161,['M']
usr_b1185a9599,M,F,1832,11.681,['F']
usr_f40be05c5f,M,M,707,10.75,"['M', 'F', 'NB']"
usr_f40be05c5f,M,F,707,10.75,"['M', 'F', 'NB']"
usr_f40be05c5f,M,NB,707,10.75,"['M', 'F', 'NB']"
usr_321cbee0ad,F,M,1024,14.746,"['M', 'NB']"
usr_321cbee0ad,F,NB,1024,14.746,"['M', 'NB']"
usr_90a20138cd,F,M,794,10.327,['M']
usr_3b7ae0f59b,M,F,159,19.497,['F']
usr_2cf51205d0,M,F,435,9.885,['F']
usr_564edb5079,M,F,861,13.937,['F']
usr_c4a83cbbdf,M,F,2507,14.081,['F']
usr_657eb75a0a,M,F,1067,17.338,['F']
usr_6604a51053,M,F,785,18.089,['F']
usr_370e9dbeca,F,F,746,17.694,"['F', 'M', 'NB']"
usr_370e9dbeca,F,M,746,17.694,"['F', 'M', 'NB']"
usr_370e9dbeca,F,NB,746,17.694,"['F', 'M', 'NB']"
usr_f524dc772d,M,F,293,21.16,['F']
usr_655f1ed2c4,F,M,358,14.525,['M']
usr_60221ab882,F,M,1125,18.4,['M']
usr_5d19c07e30,M,F,234,56.41,['F']
usr_4fc014d179,M,F,605,12.727,"['F', 'NB']"
usr_4fc014d179,M,NB,605,12.727,"['F', 'NB']"
usr_da31a54b44,M,F,305,9.508,['F']
usr_91f5407cf3,F,M,168,11.31,['M']
usr_91a4ee8192,M,F,928,14.547,['F']
usr_77683bbfb9,M,F,401,12.718,['F']
usr_2d35fdfcae,M,F,1040,10.673,['F']
usr_b4914ffd72,M,F,1358,15.169,['F']
usr_e095117d98,M,F,280,10.714,['F']
usr_e10455e54d,M,F,1619,13.527,['F']
usr_b388085011,M,F,512,10.938,['F']
usr_174539e3d3,M,F,1141,16.564,['F']
usr_2d1d90850d,M,F,545,13.211,['F']
usr_1c94368b35,F,M,292,10.959,"['M', 'F', 'NB']"
usr_1c94368b35,F,F,292,10.959,"['M', 'F', 'NB']"
usr_1c94368b35,F,NB,292,10.959,"['M', 'F', 'NB']"
usr_b59b3aa4ec,M,F,143,10.49,['F']
usr_aef0bc1982,M,F,333,16.817,['F']
usr_51bb038ab9,F,M,1797,10.072,['M']
usr_bc27cf28c9,M,F,398,9.296,['F']
usr_dfe670cf74,M,F,422,13.744,['F']
usr_aca50c1241,NB,F,535,12.71,"['F', 'M', 'NB']"
usr_aca50c1241,NB,M,535,12.71,"['F', 'M', 'NB']"
usr_aca50c1241,NB,NB,535,12.71,"['F', 'M', 'NB']"
usr_72ee7b01b7,F,M,657,11.111,['M']
usr_340e6cc34d,M,F,113,11.504,['F']
usr_30ff43ad3f,F,M,934,13.169,['M']
usr_c2d0e67189,M,F,205,18.049,['F']
usr_d78fe9d889,M,F,806,12.035,['F']
usr_d97a99c3b7,M,M,135,9.63,"['M', 'NB']"
usr_d97a99c3b7,M,NB,135,9.63,"['M', 'NB']"
usr_58fe5bb1ed,M,F,1000,9.4,['F']
usr_e180f374be,F,M,751,9.987,['M']
usr_298b38ef40,M,F,178,29.775,['F']
usr_4b7db33b94,F,M,144,22.222,['M']
usr_8e94444f6f,F,F,1478,13.532,"['F', 'M']"
usr_8e94444f6f,F,M,1478,13.532,"['F', 'M']"
usr_bac751c66d,M,F,130,11.538,['F']
usr_fd38a10137,M,F,192,18.229,['F']
usr_ad60c5f6a0,F,M,2299,10.004,['M']
usr_b25bc47508,M,F,293,11.945,['F']
usr_8bec96c14b,M,F,2932,17.087,['F']
usr_d8d708ea6b,M,F,109,12.844,['F']
usr_65721f6fe3,M,F,476,13.025,['F']
usr_80304fd0b5,M,F,785,18.089,['F']
usr_d76a063805,M,F,489,11.452,['F']
usr_33e12a81c2,F,M,499,12.826,['M']
usr_95a9b10018,M,F,429,17.716,['F']
usr_9c3df10c8e,F,M,708,14.266,['M']
usr_4ca3dd5a11,M,F,2640,11.402,['F']
usr_3da85ea3ec,M,F,8401,11.463,['F']
usr_5d087ea782,M,F,2398,15.847,['F']
usr_88c85ecc38,M,F,1301,14.988,['F']
usr_66a6bdc77b,M,F,1077,9.285,['F']
usr_ab89eb0bb3,M,F,1674,11.768,['F']
usr_c5a8d4db9f,M,F,840,14.048,"['F', 'NB']"
usr_c5a8d4db9f,M,NB,840,14.048,"['F', 'NB']"
usr_7fd82cd0b4,M,F,489,15.951,"['F', 'NB']"
usr_7fd82cd0b4,M,NB,489,15.951,"['F', 'NB']"
usr_81ad59323d,M,F,892,11.659,['F']
usr_107b467dd6,F,M,535,16.075,['M']
usr_a3164c38df,F,M,1309,13.293,['M']
usr_98a3a766b8,M,F,159,19.497,['F']
usr_dc0f7360e9,M,F,924,17.1,['F']
usr_6c464a7f53,M,F,568,8.979,['F']
usr_e8711d37b3,M,F,1746,13.975,"['F', 'M']"
usr_e8711d37b3,M,M,1746,13.975,"['F', 'M']"
usr_5279084c35,M,F,2074,11.524,"['F', 'M', 'NB']"
usr_5279084c35,M,M,2074,11.524,"['F', 'M', 'NB']"
usr_5279084c35,M,NB,2074,11.524,"['F', 'M', 'NB']"
usr_58c9686525,M,F,1279,13.604,['F']
usr_781710d5f3,NB,F,3116,12.099,"['F', 'M']"
usr_781710d5f3,NB,M,3116,12.099,"['F', 'M']"
usr_adef7c72b1,M,F,195,17.436,['F']
usr_687f8c5cbf,M,F,241,15.353,['F']
usr_75045befd8,F,M,661,11.195,['M']
usr_f12e7c6cb0,M,F,194,9.278,"['F', 'M', 'NB']"
usr_f12e7c6cb0,M,M,194,9.278,"['F', 'M', 'NB']"
usr_f12e7c6cb0,M,NB,194,9.278,"['F', 'M', 'NB']"
usr_466c43842b,NB,M,223,16.143,['M']
usr_48e483544a,M,F,7524,14.593,"['F', 'NB']"
usr_48e483544a,M,NB,7524,14.593,"['F', 'NB']"
usr_448a88249a,M,F,596,13.926,['F']


