id,interest_group,word_count,sentence_count,complex_sentence_count,percent_complex_sentences,avg_sentence_len
usr_0815a0bd72,Looking for Women,123,10,2,20.0,12.3
usr_65ff9bd76e,Looking for Women,677,45,21,46.667,15.044
usr_5a5a1b1133,Looking for Women,1091,64,35,54.688,17.047
usr_7a4f5b5298,Looking for Men,870,50,28,56.0,17.4
usr_5b651e5d8a,Looking for Both,1051,27,19,70.37,38.926
usr_ce8d89cc9a,Looking for Women,146,7,4,57.143,20.857
usr_0595390b2a,Looking for Women,580,53,10,18.868,10.943
usr_0ad3cadb21,Looking for Both,1307,60,33,55.0,21.783
usr_b7dffef9dd,Looking for Women,1127,58,36,62.069,19.431
usr_e2c15ff14e,Looking for Men,502,17,11,64.706,29.529
usr_1b22b88b8c,Looking for Women,461,30,10,33.333,15.367
usr_ec181fb208,Looking for Men,1019,80,30,37.5,12.738
usr_8e01aabd7b,Looking for Men,1157,65,33,50.769,17.8
usr_3861e7bb44,Looking for Women,963,65,25,38.462,14.815
usr_2a6d2a2d9e,Looking for Women,641,53,11,20.755,12.094
usr_0ddd44ddab,Looking for Women,561,24,16,66.667,23.375
usr_f31f1ef82d,Looking for Women,523,30,16,53.333,17.433
usr_b0cbb72cba,Looking for Women,1030,63,28,44.444,16.349
usr_f8264ce8ea,Looking for Women,271,26,5,19.231,10.423
usr_388e4d83da,Looking for Both,377,28,6,21.429,13.464
usr_f753263e7c,Looking for Men,1202,85,34,40.0,14.141
usr_75f2661435,Looking for Both,4710,314,113,35.987,15.0
usr_ad51f6fcde,Looking for Women,1206,64,37,57.812,18.844
usr_62a591d357,Looking for Women,685,39,19,48.718,17.564
usr_a5a2e6db18,Looking for Women,811,34,19,55.882,23.853
usr_043cba3ae0,Looking for Women,1572,88,46,52.273,17.864
usr_7bae480261,Looking for Women,1046,71,26,36.62,14.732
usr_a554d0a027,Looking for Women,1258,67,27,40.299,18.776
usr_c171b85fd5,Looking for Men,3115,124,96,77.419,25.121
usr_0cf7f3e282,Looking for Women,249,15,7,46.667,16.6
usr_5048f38377,Looking for Women,1054,63,29,46.032,16.73
usr_087fbc195a,Looking for Men,1621,98,44,44.898,16.541
usr_338869b614,Looking for Men,216,15,5,33.333,14.4
usr_7c05cf7f82,Looking for Women,708,48,18,37.5,14.75
usr_dab34ae3eb,Looking for Women,1853,95,40,42.105,19.505
usr_91520afa39,Looking for Women,2314,124,73,58.871,18.661
usr_472fe7a708,Looking for Men,1020,33,20,60.606,30.909
usr_eeb1bca3df,Looking for Men,728,35,17,48.571,20.8
usr_720699db56,Looking for Men,358,24,10,41.667,14.917
usr_48faf2fb83,Looking for Women,769,38,25,65.789,20.237
usr_5404818004,Looking for Women,240,14,8,57.143,17.143
usr_e6786b8495,Looking for Women,511,38,12,31.579,13.447
usr_f93929ccfe,Looking for Women,1368,104,28,26.923,13.154
usr_83dfcfab4f,Looking for Women,448,51,7,13.725,8.784
usr_2a41c33405,Looking for Men,613,40,16,40.0,15.325
usr_e85937d6f1,Looking for Men,433,22,16,72.727,19.682
usr_6d33a4613e,Looking for Men,534,31,12,38.71,17.226
usr_73fb709f6f,Looking for Women,359,21,8,38.095,17.095
usr_e77eb2eb7d,Looking for Women,1436,91,42,46.154,15.78
usr_8b8fa88e38,Looking for Women,4353,263,118,44.867,16.551
usr_afcc6e0593,Looking for Women,944,47,33,70.213,20.085
usr_f6f09aa842,Looking for Both,2081,135,56,41.481,15.415
usr_eca6230bc7,Looking for Men,971,51,23,45.098,19.039
usr_455248a8c2,Looking for Men,1890,235,23,9.787,8.043
usr_cb1f4df9ab,Looking for Men,473,23,13,56.522,20.565
usr_9114a08dc7,Looking for Men,1821,98,46,46.939,18.582
usr_ff0b88a130,Looking for Women,1742,85,45,52.941,20.494
usr_8cff506150,Looking for Men,231,7,3,42.857,33.0
usr_9125241386,Looking for Men,1125,76,33,43.421,14.803
usr_edae9f254b,Looking for Women,566,30,15,50.0,18.867
usr_3386c9dc77,Looking for Men,231,7,3,42.857,33.0
