id,source_gender,target_gender,group,word_count,complex_pct,interestedIn_raw
usr_2af60cf596,M,M,Men → Men,268,9.328,['M']
usr_5585b9cd21,M,F,Men → Women,697,8.465,['F']
usr_54d1128b0f,F,M,Women → Men,105,13.333,['M']
usr_4da5e702b2,M,F,Men → Women,126,15.079,['F']
usr_6abed675ba,F,M,Women → Men,860,14.884,['M']
usr_e546949ddc,M,M,Men → Men,635,16.063,['M']
usr_ba83e1402b,M,F,Men → Women,533,11.445,['F']
usr_e2e23a6e0e,F,M,Women → Men,345,15.652,['M']
usr_8e08991398,M,F,Men → Women,596,8.557,['F']
usr_0e7b7af163,M,F,Men → Women,1832,11.681,['F']
usr_04732cb97b,M,F,Men → Women,295,22.034,['F']
usr_5f8a6bcd88,M,F,Men → Women,871,22.732,['F']
usr_b3064cef67,M,F,Men → Women,1619,13.465,['F']
usr_f0b57d5086,M,F,Men → Women,126,18.254,['F']
usr_175108006f,M,F,Men → Women,838,18.854,['F']
usr_02bf46161c,M,F,Men → Women,480,16.042,"['F', 'NB']"
usr_02bf46161c,M,NB,Men → NB,480,16.042,"['F', 'NB']"
usr_75b14a324e,M,F,Men → Women,2069,12.228,['F']
usr_67f17eb9e6,M,F,Men → Women,1040,12.692,['F']
usr_f57ea7ef5b,F,F,Women → Women,514,13.813,"['F', 'M', 'NB']"
usr_f57ea7ef5b,F,M,Women → Men,514,13.813,"['F', 'M', 'NB']"
usr_f57ea7ef5b,F,NB,Women → NB,514,13.813,"['F', 'M', 'NB']"
usr_088df0aede,M,F,Men → Women,653,14.855,['F']
usr_c5959f611c,F,M,Women → Men,732,14.891,['M']
usr_612c0a9acf,M,F,Men → Women,866,10.508,['F']
usr_aff5b99157,F,F,Women → Women,2318,13.287,"['F', 'NB']"
usr_aff5b99157,F,NB,Women → NB,2318,13.287,"['F', 'NB']"
usr_84dc6a034d,F,M,Women → Men,239,18.828,['M']
usr_f81ea6a0d9,M,F,Men → Women,332,9.94,"['F', 'NB']"
usr_f81ea6a0d9,M,NB,Men → NB,332,9.94,"['F', 'NB']"
usr_646043becc,M,F,Men → Women,743,11.44,['F']
usr_0434dfa104,M,F,Men → Women,421,10.689,['F']
usr_aeebbaacd1,M,F,Men → Women,331,16.616,['F']
usr_fb725bc901,F,M,Women → Men,113,9.735,['M']
usr_fa70caacaa,M,F,Men → Women,854,13.817,"['F', 'M', 'NB']"
usr_fa70caacaa,M,M,Men → Men,854,13.817,"['F', 'M', 'NB']"
usr_fa70caacaa,M,NB,Men → NB,854,13.817,"['F', 'M', 'NB']"
usr_2f8c26e8f2,F,M,Women → Men,933,9.968,['M']
usr_2f7814b980,F,M,Women → Men,1488,12.097,['M']
usr_0815a0bd72,M,F,Men → Women,123,13.821,['F']
usr_65ff9bd76e,M,F,Men → Women,677,13.737,"['F', 'NB']"
usr_65ff9bd76e,M,NB,Men → NB,677,13.737,"['F', 'NB']"
usr_5a5a1b1133,M,F,Men → Women,1091,16.04,['F']
usr_7a4f5b5298,F,M,Women → Men,870,13.793,['M']
usr_5b651e5d8a,F,F,Women → Women,1051,12.94,"['F', 'M', 'NB']"
usr_5b651e5d8a,F,M,Women → Men,1051,12.94,"['F', 'M', 'NB']"
usr_5b651e5d8a,F,NB,Women → NB,1051,12.94,"['F', 'M', 'NB']"
usr_ce8d89cc9a,M,F,Men → Women,146,12.329,['F']
usr_0595390b2a,M,F,Men → Women,580,10.517,['F']
usr_b7dffef9dd,M,F,Men → Women,1127,11.18,['F']
usr_e2c15ff14e,F,M,Women → Men,502,17.729,['M']
usr_1b22b88b8c,M,F,Men → Women,461,11.497,['F']
usr_ec181fb208,F,M,Women → Men,1019,13.248,['M']
usr_8e01aabd7b,F,M,Women → Men,1157,15.644,['M']
usr_3861e7bb44,M,F,Men → Women,963,11.215,"['F', 'NB']"
usr_3861e7bb44,M,NB,Men → NB,963,11.215,"['F', 'NB']"
usr_2a6d2a2d9e,M,F,Men → Women,641,12.637,['F']
usr_0ddd44ddab,M,F,Men → Women,561,10.517,['F']
